Fri Jan 10 17:31:36 +0000 2020,2321502285,TjMetladi,,The tingle tap is how we check the readiness of the clit based on how sensitive it is and also how you react to the stimulus we’ll be bringing down on it.,,,Mainlady_Nolia,,0,0,4,https://twitter.com/TjMetladi/status/1215687649127731207
Fri Jan 10 17:04:16 +0000 2020,1115971221785600000,RubyRides1,,"3.5 percent ....mmm check Obama's unemployment and these are private sector not Government sector jobs also the pay wage is way up, for the worker not the employer....and this occurred without a stimulus package",,,EthanObama,,0,0,0,https://twitter.com/RubyRides1/status/1215680769395433472
Thu Jan 09 23:53:32 +0000 2020,1285248175,Trinhnomics,,"Nah, we all need a stimulus - “boldly” obvs. Looking good &amp; professional per usual. Am waiting for my check from the HK gov since I’m PR now but sadly all I get is a tax bill!",,,YvonneManTV,,0,0,1,https://twitter.com/Trinhnomics/status/1215421376716247040
Thu Jan 09 19:15:52 +0000 2020,4231025675,sakklife_ceo,, We need @BarackObama to come back for a 3rd term to save #America &amp; give us another stimulus check #sakklife,#America #sakklife,@BarackObama,,,0,0,0,https://twitter.com/sakklife_ceo/status/1215351501264211968
Thu Jan 09 15:15:19 +0000 2020,4364047217,veritascarl,,check your facts while it may be true 7 to 20 (with 0% fed stimulus) by nov8 8 years it only took 3 years for trump to take it from there to 32 even after the fed tried to sabotage him by quickly raising interest rates check yourself my friend @realDonaldTrump is good for USA,,@realDonaldTrump,ChrisJZullo,,0,0,0,https://twitter.com/veritascarl/status/1215290962920005633
Thu Jan 09 03:35:44 +0000 2020,839831601248788480,JillayneMC,,A couple I know made fun of Obama while cashing the check they got after buying a new home using a program from Obama’s stimulus package.,,,Eltreva,,0,0,1,https://twitter.com/JillayneMC/status/1215114907622002688
Wed Jan 08 13:04:26 +0000 2020,109213385,cheapseatsecon,,"We were basically a company that existed to cash stimulus checks. Nearly 100% of our revenue came from the Federal government. However, the public and, and still has no legal claim to any of the IP. It's wholly owned by whatever company.",,,cheapseatsecon,,0,0,0,https://twitter.com/cheapseatsecon/status/1214895637721964544
Wed Jan 08 12:30:21 +0000 2020,296392522,SAPERE_P4C,,"Check out this stimulus suggestion, drawing together #P4C #rightsrespecting #currentaffairs #maths and #statistics. Thanks for the tip, SAPERE #P4C Bronze Award School @PhoenixP4c in Liverpool!",#P4C #rightsrespecting #currentaffairs #maths #statistics #P4C,@PhoenixP4c,PhoenixP4c,https://twitter.com/PhoenixP4c/status/1214289412126887938,0,0,0,https://twitter.com/SAPERE_P4C/status/1214887061410459649
Wed Jan 08 10:55:46 +0000 2020,3754638325,rayray88colt,,"I can see that as a possibility yeahyeahboy it sound like I’ve heard this before. Obama was the deep state front line man to bring shit down foreign & domestic. He did somewhat good things that had temporary effect like print money, stimulus checks, causing inflation to name few",,,wildwestMM,,0,0,0,https://twitter.com/rayray88colt/status/1214863258181611521
Tue Jan 07 22:24:41 +0000 2020,1148987337784922113,HelenOb49661415,,"Instead of giving the NO Work Democrats anymore pay. Give the American citizens a stimulus check. So monies are used for our needs. Their wasting our , Thanks alot , no care Nancy",,,realDonaldTrump,,0,0,0,https://twitter.com/HelenOb49661415/status/1214674243067293701
Tue Jan 07 02:49:59 +0000 2020,708003778168025088,natalkqq,,"I feel like it's time for a small break, I feel like I've got addicted to social media through the holidays. I feel like most of the day I check it every few mins just so that my brain can receive some stimulus lmao, I feel super overwhelmed by all that",,,,,0,0,1,https://twitter.com/natalkqq/status/1214378620464046080
Tue Jan 07 01:24:49 +0000 2020,230602309,professoralford,,Obama ain’t got nothing to do with reparations and never has. Y’all forgot he blessed a lot of ppl with stimulus checks... ,,,drboycewatkins1,https://twitter.com/drboycewatkins1/status/1214175438802706437,0,0,0,https://twitter.com/professoralford/status/1214357184676614144
